#separator:tab
#html:true
#columns:Front	Back	Tags
<div>When do I pick prompt-level (criteria, few-shot, prose) vs architectural (hooks, prerequisites, separate instance, interface constraint)?</div>	<pre>Need DETERMINISTIC guarantee or COMPLIANCE?    → ARCHITECTURAL      - Tool ordering must be enforced → programmatic prerequisite      - Threshold must be enforced (e.g., refunds &gt; $500) → tool-call interception hook      - Data format must be normalized → PostToolUse hook      - Tool must not be misused → constrain at interface (rename/replace/split)  Need to ELIMINATE CONFIRMATION BIAS in self-review?    → INDEPENDENT 2ND CLAUDE INSTANCE      (more context to the same instance doesn&#x27;t fix self-review)  Need to ISOLATE VERBOSE OUTPUT from main session?    → context: fork (skill frontmatter)      OR Explore subagent      (compressing the output destroys the analysis)  Need PROBABILISTIC quality improvement?    → PROMPT-LEVEL (see other card)</pre>	CCA::Traps::Bonus_card_Decision_tree_for_prompt_leve
<div>What is the only authoritative signal that an agentic loop should stop?</div>	<ul><li><code>stop_reason</code>. Continue while it is <code>&quot;tool_use&quot;</code>; terminate on <code>&quot;end_turn&quot;</code>.</li><li><b>🚨 Anti-patterns:</b> parsing text for &quot;done&quot; phrases; using an iteration cap as the <i>primary</i> stop; checking <code>content[0].type == &quot;text&quot;</code> (tool-use responses can start with a text block).</li></ul>	CCA::D1
<div>After <code>stop_reason: &quot;tool_use&quot;</code> with three tool_use blocks, how do you continue the loop?</div>	<ul><li>One <code>tool_result</code> per <code>tool_use_id</code>, <b>all in a single <code>user</code> turn</b>. Order need not match.</li><li>Shape: <code>{&quot;type&quot;:&quot;tool_result&quot;,&quot;tool_use_id&quot;:&quot;&lt;id&gt;&quot;,&quot;content&quot;:&quot;...&quot;,&quot;is_error&quot;:false}</code>.</li><li><b>🚨 Wrong:</b> separate requests per tool; one combined result; putting tool_results in an <code>assistant</code> message.</li></ul>	CCA::D1
<div>What is the only valid multi-agent topology, and what may subagents NOT do?</div>	<ul><li><b>Hub-and-spoke.</b> Coordinator at the centre; all communication routes through it.</li><li>Subagents <b>never</b> talk to each other directly.</li></ul>	CCA::D1
<div>What state does a subagent inherit from the coordinator?</div>	<ul><li><b>None.</b> No coordinator history, no shared memory across invocations.</li><li>Every byte a subagent needs must be in its prompt. <i>The prompt is the universe.</i></li></ul>	CCA::D1
<div>Map each multi-agent symptom to its root cause: missing topics / duplicate work / shallow on everything / missing citations.</div>	<ul><li>Missing topics → decomposition <b>too narrow</b>.</li><li>Duplicated work → scope <b>partitioning</b> sloppy.</li><li>Shallow on every topic → subagent <b>prompts or tool budgets</b>.</li><li>Missing source attribution → <b>context-passing</b> destroyed metadata.</li><li><i>Rule: don&#x27;t blame the agent that faithfully executed a bad brief.</i></li></ul>	CCA::D1
<div>What mechanism spawns subagents, and what config is mandatory for delegation?</div>	<ul><li>The <b>Task tool</b> is the only mechanism.</li><li><code>allowedTools</code> <b>must include <code>&quot;Task&quot;</code></b> or the coordinator physically cannot delegate.</li><li><i>&quot;Won&#x27;t delegate&quot; bug → check <code>allowedTools</code> for <code>&quot;Task&quot;</code>.</i></li></ul>	CCA::D1
<div>Three rules for passing context to a subagent.</div>	<ul><li>Pass <b>complete findings</b>, not pointers.</li><li>Pass <b>structured metadata</b> (claim + source_url + snippet), not collapsed prose.</li><li>Write <b>goal-oriented</b> prompts, not procedural step-by-step.</li></ul>	CCA::D1
<div>How do you spawn subagents in parallel, and when is it safe?</div>	<ul><li>Emit multiple <code>Task</code> tool_uses in a <b>single</b> coordinator response → runs concurrently.</li><li>Sequential (separate turns) = multiplied latency.</li><li>Safe <b>only when subagents are independent</b>.</li></ul>	CCA::D1
<div>When do you use <code>fork_session</code> instead of parallel Task spawning?</div>	<ul><li>For independent branches that <b>share an expensive computed baseline</b> (&quot;explore N alternatives from the same analysis&quot;).</li><li>Many isolated subagents with no shared baseline → parallel <code>Task</code> instead.</li></ul>	CCA::D1
<div>Order these by determinism: hooks, prompt rules, routing, few-shot.</div>	<ul><li>Probabilistic → deterministic: <b>prompt rules → few-shot → routing → hooks / prerequisite gates</b>.</li><li>Only hooks/gates reach ~100% enforcement.</li></ul>	CCA::D1
<div>When is programmatic enforcement (hooks) required vs a prompt?</div>	<ul><li>Single failure → financial loss / security breach / regulatory violation / safety harm → <b>hooks/gates</b>.</li><li>Single failure → bad-but-recoverable UX → <b>prompts</b>.</li><li>Canonical hook scenarios: refunds, trade limits, compliance, approvals, age/permission gates, audit logging.</li></ul>	CCA::D1
<div>For a high-stakes scenario, which four answer shapes are the distractors?</div>	<ul><li>✅ Hook / prerequisite gate.</li><li>🚨 Stronger system prompt · few-shot examples · specialised subagent with a stronger prompt · bigger model / higher temperature.</li><li><i>No prompt wording makes a probabilistic mechanism deterministic.</i></li></ul>	CCA::D1
<div>When does each Agent SDK hook fire, and what is each used for?</div>	<ul><li><b>PreToolUse</b> — before the tool runs: gates, authorisation, prerequisite checks, financial limits, capturing <b>prior-state</b> hash for audit.</li><li><b>PostToolUse</b> — after the tool, before the model sees the result: normalise, redact PII, truncate, enrich, log.</li><li>Triggers: &quot;prior state / before X&quot; → Pre; &quot;normalise / redact / heterogeneous formats&quot; → Post.</li></ul>	CCA::D1
<div>Hook or subagent: a rule that must be enforced vs a capability needing different reasoning?</div>	<ul><li><b>Rule that must be enforced</b> → hook.</li><li><b>Capability needing different reasoning / prompt / tools</b> → subagent.</li><li>Hooks gate/block/transform; they <b>don&#x27;t rank tools</b> (use prompts + tool descriptions for &quot;prefer tool A&quot;).</li></ul>	CCA::D1
<div>Name the four task-decomposition patterns and their tell.</div>	<ul><li><b>Fixed Sequential Pipeline</b> — stable structure, each step consumes the prior.</li><li><b>Dynamic Decomposition</b> — typed subagents (search/doc/synth), scope varies.</li><li><b>Orchestrator–Worker</b> — uniform worker clones, differ only by prompt-supplied scope.</li><li><b>Evaluator–Optimiser</b> — iterate until checkable criteria pass.</li><li>Discriminator: typed roles → dynamic; uniform clones → orchestrator–worker.</li></ul>	CCA::D1
<div>When does the evaluator–optimiser pattern break?</div>	<ul><li>When the evaluator <b>cannot reliably tell good from bad</b> (subjective criteria) → the loop spins.</li></ul>	CCA::D1
<div>When does the exam prefer a single agent over multi-agent?</div>	<ul><li>When a single-agent loop works — <b>don&#x27;t refactor to multi-agent</b>.</li><li>Multi-agent adds latency, cost, and failure surface; warranted only when single-agent genuinely can&#x27;t do the job.</li></ul>	CCA::D1
<div>The three agent error categories and the correct response to each.</div>	<ul><li><b>Transient</b> (429, 503, blip) → retry with exponential backoff + <b>jitter</b>, capped.</li><li><b>Permanent</b> (400/401/403/404, malformed) → don&#x27;t retry; feed back or escalate.</li><li><b>Logical</b> (empty/irrelevant results) → feed back to the model with context; it changes strategy.</li><li>🚨 Blanket retry on every type is the anti-pattern.</li></ul>	CCA::D1
<div>How do you prevent a transient retry from double-charging? What is the &quot;paired fix&quot;?</div>	<ul><li>Generate a UUID/hash of <code>{operation + customer + amount}</code> on the <b>first</b> attempt; reuse on every retry; server-side dedup.</li><li><b>Paired fix:</b> when retries are broken AND duplication occurs, you need <i>both</i> error classification <i>and</i> idempotency keys — either alone is insufficient.</li></ul>	CCA::D1
<div>What must a self-contained human-handoff payload include? (no transcript expected)</div>	<ul><li>Customer ID · 2–3 sentence summary · <b>root-cause analysis</b> · action taken · <b>recommended action (incl. refund amount)</b> · compliance/urgency flags.</li><li>🚨 The two most-tested omissions: root cause and recommended action.</li><li>🚨 Forwarding the full transcript is wrong.</li></ul>	CCA::D1
<div>Minimum observability for an agent system.</div>	<ul><li>Trace ID per run, span IDs per loop iteration and tool call.</li><li>Structured logs of <code>stop_reason</code>, tool calls, hook decisions, token usage.</li><li>Per-subagent cost &amp; latency (multi-agent costs compound).</li><li>Replay via stored history.</li></ul>	CCA::D1
<div>Four reliability patterns for agent harnesses.</div>	<ul><li><b>Circuit breaker</b> — N failures in a window → cooldown.</li><li><b>Fallback agent/tool</b> — degraded answer beats none.</li><li><b>Cost/token budgets</b> — enforced at the harness, not by prompt.</li><li><b>Per-tool timeouts</b> — no tool blocks the loop forever (hang → timeout + fallback, not a prompt instruction).</li></ul>	CCA::D1
<div>What is the first fix for a tool-misrouting problem, and why?</div>	<ul><li><b>Expand the tool descriptions.</b> They ARE the routing mechanism — the model has nothing else when choosing between similar tools.</li><li>Fix ranking: expand descriptions (✅) &gt; few-shot &gt; merge tools &gt; train a classifier (🚨 worst).</li></ul>	CCA::D2
<div>What does a production-grade tool description contain?</div>	<div>1. Primary purpose (one sentence).</div><div>2. Input contract (formats, types, constraints).</div><div>3. Example queries it handles well.</div><div>4. Edge cases and limitations.</div><div>5. <b>Explicit boundaries vs similar tools</b> (&quot;Use this for X; for Y use <code>other_tool</code>&quot;) — the part most teams skip.</div>	CCA::D2
<div>What&#x27;s the code smell that a tool must be split, and does renaming fix it?</div>	<ul><li>&quot;<b>or</b>&quot; between behaviours or &quot;<b>depending on</b>&quot; between conditions in the description → unsplittable at runtime, can&#x27;t route reliably.</li><li><b>Split</b> into purpose-specific tools with tight contracts. <b>Renaming does NOT fix it.</b></li></ul>	CCA::D2
<div>Descriptions are good but misrouting continues. What now?</div>	<ul><li>Audit the <b>system prompt</b> for keyword-sensitive instructions (&quot;always look up the customer first&quot;) that override descriptions.</li><li><b>Remove the conflicting association</b> — don&#x27;t add more routing rules to the prompt (that competes with descriptions).</li></ul>	CCA::D2
<div>The four structured-error categories, retryability, and agent response.</div>	<ul><li><b>Transient</b> (timeout, 503, rate limit) → retryable, <b>same input</b>; backoff then escalate.</li><li><b>Validation</b> (bad format, missing field) → retryable <b>after fixing input</b>.</li><li><b>Business</b> (over limit, locked, ineligible) → <b>not retryable</b>; surface description, switch workflow.</li><li><b>Permission</b> (401, 403, scope) → not retryable by this agent; escalate.</li></ul>	CCA::D2
<div>Distinguish an access failure from a valid empty result in a tool&#x27;s contract.</div>	<ul><li><b>Access failure</b> (couldn&#x27;t reach the source) → <code>isError: true</code> (transient/permission) → consider retry.</li><li><b>Valid empty result</b> (queried fine, found nothing) → <code>isError: false</code>, empty array/null → tell the user &quot;no results&quot;.</li><li>🚨 Returning <code>[]</code> for both &quot;no such customer&quot; AND &quot;DB unreachable&quot; is the canonical trap.</li></ul>	CCA::D2
<div>How should a subagent handle errors, and what should the coordinator do?</div>	<ul><li>Subagent does <b>local recovery first</b> (retry, fall back); only propagate what it can&#x27;t resolve, including what was attempted + partial results + recommended action.</li><li>Coordinator <b>evaluates partial results</b> from successful subagents instead of aborting the whole task.</li></ul>	CCA::D2
<div>How many tools per agent, and how should tools be distributed?</div>	<ul><li><b>4–5 per agent</b> is the production sweet spot; reliability degrades sharply past 7–10 (softmax thins margins).</li><li><b>Scope tools to roles</b>: synthesis agent has no <code>web_search</code>; search agent has no document-analysis tools.</li></ul>	CCA::D2
<div>The three <code>tool_choice</code> values and when to use each.</div>	<ul><li><code>&quot;auto&quot;</code> (default) — model may or may not call a tool.</li><li><code>&quot;any&quot;</code> — must call <b>some</b> tool, model picks.</li><li><code>{&quot;type&quot;:&quot;tool&quot;,&quot;name&quot;:&quot;X&quot;}</code> — must call <b>this specific</b> tool.</li></ul>	CCA::D2
<div>A system-prompt instruction &quot;always extract intent first&quot; is skipped ~15% of the time. Fix?</div>	<ul><li><code>tool_choice: {&quot;type&quot;:&quot;tool&quot;,&quot;name&quot;:&quot;extract_intent&quot;}</code> on the first turn; <code>&quot;auto&quot;</code> after. 15% → 0%.</li><li><i>Prompts request; <code>tool_choice</code> requires.</i></li><li>🚨 Wrong: stronger prompt; <code>&quot;any&quot;</code> (could pick another tool); validate after the fact.</li></ul>	CCA::D2
<div>Synthesis agent round-trips to the search agent for many one-line fact checks (85% simple, 15% complex). Fix?</div>	<ul><li>Give synthesis a <b>scoped, constrained</b> <code>verify_fact(claim, max_sources=3)</code> tool; description <b>states complex cases route back to the coordinator</b>.</li><li><i>High-frequency simple op across roles → constrained version for the common case, escalate the rare case.</i></li><li>🚨 Wrong: full <code>web_search</code> on synthesis; merge agents; cache; train a smaller model.</li></ul>	CCA::D2
<div>Give the constrained alternative for <code>fetch_url</code>, <code>run_sql</code>, <code>send_email</code>.</div>	<ul><li><code>fetch_url</code> → <code>load_document(document_url)</code> (allowed domains, content-types, strip scripts).</li><li><code>run_sql</code> → <code>query_orders(filters)</code> (single-table, parameterised).</li><li><code>send_email</code> → <code>send_customer_notification(template_id, ...)</code> (templated, restricted recipients).</li><li>Same capability, narrower surface, smaller blast radius.</li></ul>	CCA::D2
<div>Where do project vs personal MCP servers live, and is each version-controlled?</div>	<ul><li><b>Project:</b> <code>.mcp.json</code> at repo root — committed/shared.</li><li><b>User:</b> <code>~/.claude.json</code> — personal, not shared.</li><li>Tool discovery happens at connection time; too many servers re-creates tool overload.</li></ul>	CCA::D2
<div>A token is hard-coded in a committed <code>.mcp.json</code>. Correct fix?</div>	<ul><li>Use <code>${VAR}</code> expansion: <code>&quot;JIRA_API_TOKEN&quot;: &quot;${JIRA_API_TOKEN}&quot;</code>; secrets live in each dev&#x27;s env. <b>Rotate the leaked token</b> (git history is forever).</li><li>🚨 Wrong: relocate to <code>~/.claude.json</code> or gitignore it — both break team sharing. Parameterise, don&#x27;t relocate.</li></ul>	CCA::D2
<div>Tools vs resources in MCP — and the fix for &quot;agent makes many exploratory calls at conversation start.&quot;</div>	<ul><li><b>Tools = actions</b>; <b>Resources = readable content</b> (catalogues, schemas, summaries).</li><li>Fix: expose <b>resources</b> (e.g. <code>db://schemas/orders</code>); the agent reads the catalogue once, then queries precisely.</li></ul>	CCA::D2
<div>When build a custom MCP server vs use a community one?</div>	<ul><li><b>Use community</b> for standard systems (Jira, GitHub, Slack, Postgres) with a maintained server.</li><li><b>Build custom</b> only for internal systems, or when the community server fundamentally can&#x27;t support the workflow, or compliance forbids it.</li><li>Preference: <b>configuration over construction; fork over fresh build</b> (90% fit → post-process or fork).</li></ul>	CCA::D2
<div>The agent reaches for Grep/Read instead of your overlapping MCP tool. Fix?</div>	<ul><li>Enhance the <b>MCP tool&#x27;s description</b> with examples and explicit boundary clauses (e.g. &quot;use for semantic queries; prefer Grep for exact-string search&quot;).</li><li>Same principle as 2.1 — descriptions are the routing layer.</li></ul>	CCA::D2
<div>Grep vs Glob: what does each search, and the mnemonic?</div>	<ul><li><b>Grep</b> — file <b>contents</b>; returns matching lines+files. &quot;What does the code <i>say</i>?&quot; (callers, errors, imports, TODOs).</li><li><b>Glob</b> — file <b>paths</b>; returns paths. &quot;What files <i>exist</i>?&quot; (<code>**/*.test.tsx</code>, configs by extension).</li><li>&quot;Find React components&quot; → Glob <code>**/*.tsx</code>. &quot;Find callers of <code>formatDate</code>&quot; → Grep <code>formatDate(</code>.</li></ul>	CCA::D2
<div>&quot;Find all callers of <code>legacyAuth</code>, then their test files.&quot; What order?</div>	<ul><li><b>Grep first</b> (content-seeded): <code>legacyAuth(</code> → caller files → derive test names → <b>Glob</b> for the test paths.</li><li>Rule: content-seeded → Grep then Glob; path-seeded (known file set → check contents) → Glob then Grep.</li></ul>	CCA::D2
<div>An Edit fails with &quot;multiple matches&quot;. Escalation order?</div>	<div>1. <b>Expand the <code>old_string</code> anchor</b> with surrounding context until unique (first move).</div><div>2. If no unique anchor exists → <b>Read + Write</b> the full file.</div><div>3. If you meant every occurrence → <code>replace_all: true</code>.</div><ul><li>🚨 Wrong: &quot;use sed&quot;; &quot;delete and recreate&quot;.</li></ul>	CCA::D2
<div>The context-budget-friendly way to understand a codebase.</div>	<ul><li><b>Grep</b> for entry points → <b>Read</b> only that file → <b>Grep</b> the identifiers it uses → <b>Read</b> only the implementations that matter.</li><li>🚨 Anti-pattern: read every file upfront — burns tens of thousands of tokens before any reasoning.</li></ul>	CCA::D2
<div>Why is a <code>PreToolUse</code> hook usually wrong in a Domain 2 question?</div>	<ul><li>Hooks are a <b>Claude Code harness</b> feature. Domain 2 tests <b>API + MCP + tool-design</b> layers: <code>tool_choice</code>, <code>tools</code>, tool-result structure, <code>isError</code>.</li><li>Match the fix to the layer the question is testing.</li></ul>	CCA::D2
<div>The three CLAUDE.md levels, their paths, and which are version-controlled.</div>	<ul><li><b>User</b> <code>~/.claude/CLAUDE.md</code> — personal, <b>not</b> shared.</li><li><b>Project</b> <code>.claude/CLAUDE.md</code> or root <code>CLAUDE.md</code> — shared via git.</li><li><b>Directory</b> <code>&lt;subdir&gt;/CLAUDE.md</code> — scopes <b>downward and local, never upward</b>.</li></ul>	CCA::D3
<div>Dev A follows team conventions; Dev B on the same repo/branch doesn&#x27;t. Root cause and fix?</div>	<ul><li>Dev A wrote the conventions to <b>user-level <code>~/.claude/CLAUDE.md</code></b>; git never carried it.</li><li><b>Fix:</b> move to project-level <code>.claude/CLAUDE.md</code> (or root) and commit.</li><li>🚨 Wrong: <code>/memory reload</code>, restart, move to directory-level — none conjure a missing file.</li></ul>	CCA::D3
<div>What is <code>/memory</code> for?</div>	<ul><li><b>Diagnosis</b> — lists which memory files are currently loaded.</li><li>It confirms a missing-file diagnosis; it does <b>not fix</b> anything. Fix = put the file in the right location.</li></ul>	CCA::D3
<div>Two ways to organise a bloated CLAUDE.md.</div>	<ul><li><code>@import</code> syntax inside CLAUDE.md (reference external/per-package files).</li><li><code>.claude/rules/</code> directory of topic files (<code>testing.md</code>, etc.) with optional <code>paths:</code> frontmatter.</li><li>🚨 Wrong: compress by deleting examples — hides the structural problem.</li></ul>	CCA::D3
<div>Skill or CLAUDE.md: when loaded, and purpose of each?</div>	<ul><li><b>Skill</b> — loaded <b>on-demand when invoked</b>; task-specific workflows (<code>/review</code>).</li><li><b>CLAUDE.md</b> — <b>always loaded</b>; universal standards.</li><li>&quot;Needs to happen every time&quot; → CLAUDE.md. &quot;Invoked when needed&quot; → skill.</li></ul>	CCA::D3
<div>What do <code>context: fork</code>, <code>allowed-tools</code>, and <code>argument-hint</code> do?</div>	<ul><li><code>context: fork</code> — runs in an isolated subagent; verbose output stays there, only a summary returns. (&quot;clutters main conversation&quot;).</li><li><code>allowed-tools: [Read, Grep]</code> — restricts the skill&#x27;s tools (&quot;analyse only, read-only&quot;).</li><li><code>argument-hint</code> — prompts for a required parameter when invoked without one.</li></ul>	CCA::D3
<div>A dev wants a stricter version of the team <code>/review</code> skill. Right move?</div>	<ul><li>Create <code>~/.claude/skills/review-strict/SKILL.md</code> — different name, personal location.</li><li>🚨 Wrong: edit the project skill (affects teammates).</li><li>Two orthogonal axes: <i>who needs it</i> → location; <i>is output noisy</i> → <code>context: fork</code>.</li></ul>	CCA::D3
<div>What are path-specific rules, and when do they beat directory-level CLAUDE.md?</div>	<ul><li>Files in <code>.claude/rules/</code> with <code>paths:</code> glob frontmatter; load <b>only</b> when editing matching files.</li><li>Beat directory CLAUDE.md for <b>files spread across the codebase by pattern</b> (<code>**/*.test.*</code>) — one file, globs everywhere, no per-directory drift.</li><li>Signature phrase: &quot;pattern of files spread across the codebase&quot;.</li></ul>	CCA::D3
<div>Why is a <code>/migrate</code> slash command the wrong way to enforce a migration convention?</div>	<ul><li>Slash commands require devs to <b>remember to invoke</b> them; standards must be <b>ambient</b>.</li><li>Use path-specific rules (or CLAUDE.md), not an opt-in command.</li></ul>	CCA::D3
